scorer,DLC_resnet50_pregius_jump_kinematics_summer2025Jul18shuffle1_500000,DLC_resnet50_pregius_jump_kinematics_summer2025Jul18shuffle1_500000,DLC_resnet50_pregius_jump_kinematics_summer2025Jul18shuffle1_500000,DLC_resnet50_pregius_jump_kinematics_summer2025Jul18shuffle1_500000,DLC_resnet50_pregius_jump_kinematics_summer2025Jul18shuffle1_500000,DLC_resnet50_pregius_jump_kinematics_summer2025Jul18shuffle1_500000,DLC_resnet50_pregius_jump_kinematics_summer2025Jul18shuffle1_500000,DLC_resnet50_pregius_jump_kinematics_summer2025Jul18shuffle1_500000,DLC_resnet50_pregius_jump_kinematics_summer2025Jul18shuffle1_500000,DLC_resnet50_pregius_jump_kinematics_summer2025Jul18shuffle1_500000,DLC_resnet50_pregius_jump_kinematics_summer2025Jul18shuffle1_500000,DLC_resnet50_pregius_jump_kinematics_summer2025Jul18shuffle1_500000,DLC_resnet50_pregius_jump_kinematics_summer2025Jul18shuffle1_500000,DLC_resnet50_pregius_jump_kinematics_summer2025Jul18shuffle1_500000,DLC_resnet50_pregius_jump_kinematics_summer2025Jul18shuffle1_500000,DLC_resnet50_pregius_jump_kinematics_summer2025Jul18shuffle1_500000,DLC_resnet50_pregius_jump_kinematics_summer2025Jul18shuffle1_500000,DLC_resnet50_pregius_jump_kinematics_summer2025Jul18shuffle1_500000,DLC_resnet50_pregius_jump_kinematics_summer2025Jul18shuffle1_500000,DLC_resnet50_pregius_jump_kinematics_summer2025Jul18shuffle1_500000,DLC_resnet50_pregius_jump_kinematics_summer2025Jul18shuffle1_500000,DLC_resnet50_pregius_jump_kinematics_summer2025Jul18shuffle1_500000,DLC_resnet50_pregius_jump_kinematics_summer2025Jul18shuffle1_500000,DLC_resnet50_pregius_jump_kinematics_summer2025Jul18shuffle1_500000,DLC_resnet50_pregius_jump_kinematics_summer2025Jul18shuffle1_500000,DLC_resnet50_pregius_jump_kinematics_summer2025Jul18shuffle1_500000,DLC_resnet50_pregius_jump_kinematics_summer2025Jul18shuffle1_500000,DLC_resnet50_pregius_jump_kinematics_summer2025Jul18shuffle1_500000,DLC_resnet50_pregius_jump_kinematics_summer2025Jul18shuffle1_500000,DLC_resnet50_pregius_jump_kinematics_summer2025Jul18shuffle1_500000,DLC_resnet50_pregius_jump_kinematics_summer2025Jul18shuffle1_500000,DLC_resnet50_pregius_jump_kinematics_summer2025Jul18shuffle1_500000,DLC_resnet50_pregius_jump_kinematics_summer2025Jul18shuffle1_500000
bodyparts,head,head,head,com,com,com,tail,tail,tail,leg3a,leg3a,leg3a,leg3b,leg3b,leg3b,leg3c,leg3c,leg3c,leg3d,leg3d,leg3d,leg4a,leg4a,leg4a,leg4b,leg4b,leg4b,leg4c,leg4c,leg4c,leg4d,leg4d,leg4d
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,273.49774169921875,145.71949768066406,0.9984554052352905,222.9390411376953,149.9126434326172,0.9935682415962219,155.4479522705078,160.34158325195312,0.9976413249969482,235.52023315429688,155.27427673339844,0.28297799825668335,233.10305786132812,146.19981384277344,0.0335305817425251,254.68740844726562,156.44927978515625,0.13854552805423737,266.3822937011719,164.59005737304688,0.9497957229614258,223.3874053955078,158.297119140625,0.17531931400299072,210.90431213378906,137.1494598388672,0.0640745609998703,160.24107360839844,158.4858856201172,0.0061120749451220036,157.78663635253906,164.4099884033203,0.003610329469665885
1,273.46917724609375,145.7542266845703,0.9984921216964722,222.82766723632812,149.96820068359375,0.9938382506370544,155.48153686523438,160.32550048828125,0.9979487061500549,235.4991455078125,155.29348754882812,0.3030223250389099,233.0687255859375,146.14456176757812,0.03153353929519653,254.69078063964844,156.4621124267578,0.13967230916023254,266.4040832519531,164.62611389160156,0.9492377042770386,223.39422607421875,158.30380249023438,0.16310004889965057,210.95933532714844,137.1000518798828,0.06383643299341202,160.30645751953125,158.4615478515625,0.006451732944697142,157.88003540039062,164.3852081298828,0.003607042832300067
2,273.42877197265625,145.8236083984375,0.9985015392303467,222.98178100585938,149.9653778076172,0.9936328530311584,155.40538024902344,160.41433715820312,0.9978891015052795,235.488037109375,155.2735595703125,0.2913113534450531,233.03488159179688,146.2318878173828,0.03199664130806923,254.69595336914062,156.5558319091797,0.1327030509710312,266.47064208984375,164.7115936279297,0.9494353532791138,223.5224151611328,158.29542541503906,0.16033419966697693,210.98760986328125,137.30897521972656,0.06561017036437988,160.3335418701172,158.5088653564453,0.005405161529779434,157.91622924804688,164.44403076171875,0.0032853116281330585
3,273.4515686035156,145.82688903808594,0.998618483543396,222.99118041992188,149.88766479492188,0.9938854575157166,155.36163330078125,160.48106384277344,0.9979378581047058,235.55291748046875,155.2173309326172,0.2923097312450409,233.16836547851562,146.19888305664062,0.03393274173140526,254.87380981445312,156.52676391601562,0.14827848970890045,266.5361022949219,164.77389526367188,0.9536130428314209,223.46261596679688,158.31361389160156,0.16828684508800507,210.9900665283203,137.28060913085938,0.0691867396235466,160.30364990234375,158.57522583007812,0.00556440744549036,157.8350830078125,164.45713806152344,0.0036246341187506914
4,273.42437744140625,145.81307983398438,0.9984478950500488,222.8568878173828,149.8809356689453,0.994155764579773,155.36976623535156,160.50213623046875,0.9981564879417419,235.4656219482422,155.2719268798828,0.3046148419380188,233.01634216308594,146.1873321533203,0.03215606510639191,254.67330932617188,156.58084106445312,0.12780258059501648,266.51849365234375,164.78211975097656,0.945838451385498,223.28488159179688,158.3489990234375,0.19073188304901123,210.75718688964844,137.290283203125,0.07401620596647263,160.35845947265625,158.60426330566406,0.005911951418966055,157.91456604003906,164.44102478027344,0.0037016302812844515
5,273.48101806640625,145.83047485351562,0.9986395239830017,222.94805908203125,149.8324432373047,0.9939795732498169,155.37513732910156,160.55259704589844,0.998062789440155,235.55360412597656,155.16566467285156,0.30194124579429626,233.06407165527344,146.0855712890625,0.03127820044755936,254.6703643798828,156.529296875,0.11989399790763855,266.59027099609375,164.7190399169922,0.9407959580421448,223.32395935058594,158.28424072265625,0.19224947690963745,210.79904174804688,137.2745819091797,0.08148709684610367,160.32020568847656,158.6168212890625,0.006261381320655346,157.85958862304688,164.4496612548828,0.0037733905483037233
6,273.4650573730469,145.88226318359375,0.9985471367835999,222.95640563964844,149.701904296875,0.9937649965286255,155.32643127441406,160.62083435058594,0.997954249382019,235.55734252929688,155.2672119140625,0.30623579025268555,233.144775390625,145.9734649658203,0.036312591284513474,254.79647827148438,156.5541534423828,0.1269577145576477,266.610595703125,164.8179168701172,0.9403843283653259,223.20481872558594,158.35545349121094,0.19567148387432098,210.71534729003906,137.32826232910156,0.07582569122314453,160.28482055664062,158.6082763671875,0.005936646368354559,157.8486328125,164.5236358642578,0.00350903975777328
7,273.3855285644531,145.91981506347656,0.9985328912734985,222.929443359375,149.7484130859375,0.9938050508499146,155.39886474609375,160.60194396972656,0.9981404542922974,235.5864715576172,155.152099609375,0.33878669142723083,233.03829956054688,145.91781616210938,0.03955259919166565,254.67477416992188,156.5677490234375,0.14128385484218597,266.6822814941406,164.87020874023438,0.9440777897834778,223.18951416015625,158.38551330566406,0.20910757780075073,210.6011962890625,137.259765625,0.10000570118427277,160.305419921875,158.59715270996094,0.005951700732111931,157.89462280273438,164.48446655273438,0.0035523963160812855
