epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
37,341.802,1.04096,0.95515,1.64155,0.00962,0.98081,0.5,0.53577,0.35208,1.97913,1.18342,1.67049,0.00492,0.00107288,0.00107288,0.00107288
38,358.458,1.1086,0.98152,1.45557,0.01672,0.98081,0.5,0.53577,0.35208,1.97913,1.18342,1.67049,0.00492,0.00105638,0.00105638,0.00105638
39,365.493,1.03351,0.88832,1.43296,0.00969,0.98105,0.5,0.4975,0.34825,1.71822,1.0768,1.47704,0.00462,0.00103987,0.00103987,0.00103987
40,369.444,1.09209,0.92641,1.4896,0.00577,0.98105,0.5,0.4975,0.34825,1.71822,1.0768,1.47704,0.00462,0.00102337,0.00102337,0.00102337
41,373.76,1.01018,0.9299,1.38218,0.0076,0.98138,0.5,0.4975,0.34825,1.74969,1.0395,1.40363,0.00599,0.00100687,0.00100687,0.00100687
42,382.198,0.94156,0.85582,1.31038,0.01434,0.98138,0.5,0.4975,0.34825,1.74969,1.0395,1.40363,0.00599,0.000990365,0.000990365,0.000990365
43,397.45,1.06183,0.85813,1.43427,0.00319,0.98138,0.5,0.4975,0.34825,1.74969,1.0395,1.40363,0.00599,0.000973861,0.000973861,0.000973861
44,401.35,1.1186,0.90402,1.66357,0.00825,0.98184,0.5,0.55969,0.35447,1.80643,0.97181,1.32336,0.00636,0.000957358,0.000957358,0.000957358
45,408.807,1.11411,0.91151,1.41449,0.00834,0.98184,0.5,0.55969,0.35447,1.80643,0.97181,1.32336,0.00636,0.000940855,0.000940855,0.000940855
46,424.707,1.07117,0.89541,1.44513,0.01662,0.98184,0.5,0.55969,0.35447,1.80643,0.97181,1.32336,0.00636,0.000924352,0.000924352,0.000924352
47,432.336,1.13277,0.87858,1.6101,0.02204,0.98118,0.5,0.4975,0.2985,1.71238,0.92182,1.21168,0.00585,0.000907848,0.000907848,0.000907848
48,443.939,1.22557,0.94533,1.55926,0.01245,0.98118,0.5,0.4975,0.2985,1.71238,0.92182,1.21168,0.00585,0.000891345,0.000891345,0.000891345
49,448.128,1.04495,0.88701,1.47779,0.02826,0.97949,0.5,0.4975,0.398,1.45515,0.95158,1.17027,0.00425,0.000874842,0.000874842,0.000874842
50,455.276,1.02273,0.89956,1.41312,0.01268,0.97949,0.5,0.4975,0.398,1.45515,0.95158,1.17027,0.00425,0.000858338,0.000858338,0.000858338
